代码,名称,alphafeed_symbol
002073,软控股份,002073.SZ
002074,国轩高科,002074.SZ
002075,沙钢股份,002075.SZ
002076,星光股份,002076.SZ
002077,大港股份,002077.SZ
002078,太阳纸业,002078.SZ
002079,苏州固锝,002079.SZ
002080,中材科技,002080.SZ
002081,金 螳 螂,002081.SZ
002082,ST万邦,002082.SZ
002083,孚日股份,002083.SZ
002084,海鸥住工,002084.SZ
002085,万丰奥威,002085.SZ
002086,东方海洋,002086.SZ
002088,鲁阳节能,002088.SZ
002090,金智科技,002090.SZ
002091,江苏国泰,002091.SZ
002092,中泰化学,002092.SZ
002093,国脉科技,002093.SZ
002094,青岛金王,002094.SZ
002095,生 意 宝,002095.SZ
002096,易普力,002096.SZ
002097,山河智能,002097.SZ
002098,浔兴股份,002098.SZ
002099,海翔药业,002099.SZ
002100,天康生物,002100.SZ
002101,广东鸿图,002101.SZ
002102,ST能特,002102.SZ
002103,广博股份,002103.SZ
002104,恒宝股份,002104.SZ
002105,信隆健康,002105.SZ
002106,莱宝高科,002106.SZ
002107,沃华医药,002107.SZ
002108,沧州明珠,002108.SZ
002109,ST兴化,002109.SZ
002110,三钢闽光,002110.SZ
002111,威海广泰,002111.SZ
002112,三变科技,002112.SZ
002114,罗平锌电,002114.SZ
002115,三维通信,002115.SZ
002116,中国海诚,002116.SZ
002117,东港股份,002117.SZ
002119,康强电子,002119.SZ
002120,韵达股份,002120.SZ
002121,科陆电子,002121.SZ
002122,ST汇洲,002122.SZ
002123,梦网科技,002123.SZ
002124,天邦食品,002124.SZ
002125,湘潭电化,002125.SZ
002126,银轮股份,002126.SZ
002127,南极电商,002127.SZ
002128,电投能源,002128.SZ
002129,TCL中环,002129.SZ
002130,沃尔核材,002130.SZ
002131,利欧股份,002131.SZ
002132,恒星科技,002132.SZ
002133,广宇集团,002133.SZ
002134,天津普林,002134.SZ
002135,东南网架,002135.SZ
002136,安 纳 达,002136.SZ
002137,实益达,002137.SZ
002138,顺络电子,002138.SZ
002139,拓邦股份,002139.SZ
002140,东华科技,002140.SZ
002141,贤丰控股,002141.SZ
002142,宁波银行,002142.SZ
002144,宏达高科,002144.SZ
002145,钛能化学,002145.SZ
002146,荣盛发展,002146.SZ
002148,北纬科技,002148.SZ
002149,西部材料,002149.SZ
002150,正泰电源,002150.SZ
002151,北斗星通,002151.SZ
002152,广电运通,002152.SZ
002153,石基信息,002153.SZ
002154,报 喜 鸟,002154.SZ
002155,湖南黄金,002155.SZ
002156,通富微电,002156.SZ
002157,正邦科技,002157.SZ
002158,汉钟精机,002158.SZ
002159,三特索道,002159.SZ
002160,常铝股份,002160.SZ
002161,远 望 谷,002161.SZ
002162,悦心健康,002162.SZ
002163,海南发展,002163.SZ
002164,宁波东力,002164.SZ
002165,红 宝 丽,002165.SZ
002166,莱茵生物,002166.SZ
002167,东方锆业,002167.SZ
002168,ST惠程,002168.SZ
002169,智光电气,002169.SZ
002170,芭田股份,002170.SZ
002171,楚江新材,002171.SZ
002172,澳洋健康,002172.SZ
002173,创新医疗,002173.SZ
002174,游族网络,002174.SZ
002175,*ST东智,002175.SZ
002176,江特电机,002176.SZ
002177,御银股份,002177.SZ
002178,延华智能,002178.SZ
002179,中航光电,002179.SZ
002180,奔图科技,002180.SZ
002181,粤 传 媒,002181.SZ
002182,宝武镁业,002182.SZ
002183,怡 亚 通,002183.SZ
002184,海得控制,002184.SZ
002185,华天科技,002185.SZ
002186,全 聚 德,002186.SZ
002187,广百股份,002187.SZ
002188,中天服务,002188.SZ
002189,中光学,002189.SZ
002190,成飞集成,002190.SZ
002191,劲嘉股份,002191.SZ
002192,融捷股份,002192.SZ
002193,ST如意,002193.SZ
002194,武汉凡谷,002194.SZ
002195,岩山科技,002195.SZ
002196,方正电机,002196.SZ
002197,证通电子,002197.SZ
002198,ST嘉应,002198.SZ
002199,东晶电子,002199.SZ
002200,交投生态,002200.SZ
002201,九鼎新材,002201.SZ
002202,金风科技,002202.SZ
002203,海亮股份,002203.SZ
002204,大连重工,002204.SZ
002205,国统股份,002205.SZ
002206,海 利 得,002206.SZ
002207,*ST准油,002207.SZ
002208,合肥城建,002208.SZ
002209,达 意 隆,002209.SZ
002210,飞马国际,002210.SZ
002211,ST宏达,002211.SZ
002212,天融信,002212.SZ
002213,大为股份,002213.SZ
002214,*ST大立,002214.SZ
002215,诺 普 信,002215.SZ
002216,三全食品,002216.SZ
002217,ST合力泰,002217.SZ
002218,拓日新能,002218.SZ
002219,新里程,002219.SZ
002221,东华能源,002221.SZ
002222,福晶科技,002222.SZ
002223,鱼跃医疗,002223.SZ
002224,三 力 士,002224.SZ
002225,濮耐股份,002225.SZ
002226,江南化工,002226.SZ
002227,*ST特迅,002227.SZ
002228,合兴包装,002228.SZ
002229,鸿博股份,002229.SZ
002230,科大讯飞,002230.SZ
002232,启明信息,002232.SZ
002233,塔牌集团,002233.SZ
002234,民和股份,002234.SZ
002235,安妮股份,002235.SZ
002236,大华股份,002236.SZ
002237,恒邦股份,002237.SZ
002238,天威视讯,002238.SZ
002239,奥特佳,002239.SZ
002240,盛新锂能,002240.SZ
002241,歌尔股份,002241.SZ
002242,九阳股份,002242.SZ
002243,力合科创,002243.SZ
002244,滨江集团,002244.SZ
002245,蔚蓝锂芯,002245.SZ
002246,北化股份,002246.SZ
002247,聚力文化,002247.SZ
002248,华东数控,002248.SZ
002249,大洋电机,002249.SZ
002250,联化科技,002250.SZ
002251,步步高,002251.SZ
002252,上海莱士,002252.SZ
002253,川大智胜,002253.SZ
002254,泰和新材,002254.SZ
002255,海陆重工,002255.SZ
002256,兆新股份,002256.SZ
002258,利尔化学,002258.SZ
002259,升达林业,002259.SZ
002261,拓维信息,002261.SZ
002262,恩华药业,002262.SZ
002263,大东南,002263.SZ
002264,新 华 都,002264.SZ
002265,建设工业,002265.SZ
002266,浙富控股,002266.SZ
002267,陕天然气,002267.SZ
002268,电科网安,002268.SZ
002269,美邦服饰,002269.SZ
002270,华明装备,002270.SZ
002271,东方雨虹,002271.SZ
002272,川润股份,002272.SZ
002273,水晶光电,002273.SZ
002274,华昌化工,002274.SZ
002275,桂林三金,002275.SZ
002276,万马股份,002276.SZ
002277,友阿股份,002277.SZ
002278,神开股份,002278.SZ
002279,久其软件,002279.SZ
002281,光迅科技,002281.SZ
002282,博深股份,002282.SZ
002283,天润工业,002283.SZ
002284,亚太股份,002284.SZ
002285,世联行,002285.SZ
002286,保龄宝,002286.SZ
002287,奇正藏药,002287.SZ
002289,宇顺电子,002289.SZ
002290,禾盛新材,002290.SZ
